epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,3039.45,2.34851,3.37099,8.53424,0.00959,1.14066,0.6024,0.52407,0.55726,0.29262,0.59111,0.48609,0.5054,0.20231,2.22395,3.11746,8.6185,0.01064,0,0.000386452,0.000386452,0.000386452
48,3105.13,2.329,3.36746,8.51331,0.00967,1.11268,0.60972,0.52975,0.56291,0.29536,0.59048,0.49694,0.51323,0.20737,2.22618,3.08689,8.53506,0.0107,0,0.000358843,0.000358843,0.000358843
49,3170.08,2.32175,3.36435,8.42463,0.0094,1.12578,0.61315,0.53087,0.56536,0.29613,0.60539,0.49987,0.52072,0.20942,2.23499,3.09239,8.52185,0.01077,0,0.000331965,0.000331965,0.000331965
50,3234.64,2.34585,3.37004,8.497,0.00966,1.10554,0.61047,0.526,0.55997,0.29128,0.59055,0.5005,0.51267,0.20479,2.23541,3.1039,8.73365,0.01066,0,0.000305872,0.000305872,0.000305872
51,3299.44,2.31818,3.35115,8.36984,0.00936,1.09019,0.61566,0.52844,0.56326,0.29529,0.60645,0.5041,0.52651,0.21042,2.22328,3.05985,8.45521,0.01086,0,0.000280616,0.000280616,0.000280616
52,3363.63,2.32256,3.35131,8.38357,0.00951,1.10446,0.61505,0.53598,0.56277,0.29453,0.60228,0.5025,0.51825,0.20943,2.23572,3.05874,8.50896,0.01075,0,0.000256249,0.000256249,0.000256249
53,3428.06,2.30662,3.35586,8.31568,0.00927,1.09776,0.61843,0.53197,0.56459,0.29651,0.59617,0.50137,0.52219,0.20997,2.23202,3.07224,8.49885,0.01069,0,0.000232818,0.000232818,0.000232818
54,3492.04,2.30228,3.32824,8.3307,0.00947,1.07039,0.61488,0.5337,0.56819,0.29909,0.60317,0.50178,0.52046,0.20996,2.20531,3.04687,8.5736,0.0105,0,0.000210372,0.000210372,0.000210372
55,3554.59,2.31865,3.32863,8.29309,0.00918,1.07055,0.61244,0.53019,0.56284,0.29667,0.60269,0.50232,0.52365,0.21102,2.22641,3.05407,8.43607,0.01075,0,0.000188956,0.000188956,0.000188956
56,3619.32,2.31487,3.34694,8.34606,0.00933,1.08077,0.61977,0.52672,0.56858,0.29815,0.61054,0.4978,0.52335,0.21165,2.21679,3.0508,8.4684,0.01063,0,0.000168613,0.000168613,0.000168613
57,3683.64,2.29363,3.3183,8.27107,0.00925,1.07724,0.62671,0.5251,0.56902,0.29997,0.60877,0.49799,0.5255,0.21377,2.21243,3.028,8.43558,0.01075,0,0.000149383,0.000149383,0.000149383
58,3748.36,2.28494,3.2879,8.20205,0.00916,1.0776,0.62312,0.52886,0.57053,0.29999,0.59816,0.49856,0.5223,0.21292,2.22184,3.04736,8.44027,0.01067,0,0.000131305,0.000131305,0.000131305
59,3812.94,2.27867,3.30846,8.2826,0.00918,1.08818,0.61302,0.53575,0.56909,0.29972,0.5996,0.49764,0.5182,0.20797,2.22739,3.0543,8.39289,0.01066,0,0.000114417,0.000114417,0.000114417
60,3876.38,2.25258,3.27414,8.16681,0.00912,1.06494,0.62072,0.53571,0.57097,0.30204,0.60397,0.50057,0.52338,0.21338,2.21195,3.03392,8.3819,0.01054,0,9.87513e-05,9.87513e-05,9.87513e-05
61,3920.55,2.40015,3.26181,8.98774,0.01118,1.14972,0.58594,0.52769,0.54236,0.28078,0.5783,0.49434,0.49858,0.19588,2.25693,3.10995,8.62306,0.01103,0,8.43402e-05,8.43402e-05,8.43402e-05
62,3956.78,2.33113,3.20784,8.70122,0.01089,0.9852,0.60644,0.52009,0.55463,0.29044,0.59188,0.49128,0.50776,0.20342,2.23183,3.08306,8.58847,0.0107,0,7.12124e-05,7.12124e-05,7.12124e-05
63,3992.41,2.33108,3.20773,8.57004,0.01062,1.04432,0.60507,0.52405,0.55874,0.29561,0.59001,0.49789,0.51417,0.20696,2.21781,3.07804,8.61968,0.01062,0,5.93946e-05,5.93946e-05,5.93946e-05
64,4028.18,2.32127,3.17366,8.49124,0.01065,0.93495,0.61217,0.52334,0.56223,0.29781,0.59604,0.49638,0.51736,0.2096,2.21731,3.06305,8.47799,0.01058,0,4.89104e-05,4.89104e-05,4.89104e-05
65,4064.8,2.32422,3.19931,8.50225,0.01066,0.96644,0.61183,0.52557,0.56452,0.29956,0.59598,0.4996,0.51867,0.20993,2.21425,3.06108,8.41243,0.01054,0,3.97811e-05,3.97811e-05,3.97811e-05
66,4099.8,2.31015,3.16246,8.43903,0.01059,0.9353,0.61357,0.52527,0.56405,0.2985,0.59625,0.49812,0.51818,0.20956,2.216,3.0659,8.49344,0.01055,0,3.20249e-05,3.20249e-05,3.20249e-05
67,4134.87,2.32813,3.2065,8.49918,0.01046,0.92777,0.61284,0.52717,0.56397,0.29978,0.59437,0.5047,0.51997,0.21071,2.20955,3.06326,8.444,0.01049,0,2.56575e-05,2.56575e-05,2.56575e-05
68,4170.41,2.28334,3.17093,8.43483,0.01037,0.95391,0.61401,0.52801,0.5655,0.30135,0.59673,0.50275,0.52037,0.21137,2.20667,3.05662,8.46256,0.01043,0,2.06917e-05,2.06917e-05,2.06917e-05
69,4210.47,2.29658,3.15655,8.47925,0.01071,0.90717,0.617,0.52483,0.56574,0.30135,0.5964,0.5,0.52221,0.21128,2.21135,3.05556,8.44652,0.01046,0,1.71376e-05,1.71376e-05,1.71376e-05
70,4249.68,2.34849,3.22334,8.51022,0.0104,0.90749,0.61233,0.52946,0.56492,0.30141,0.59416,0.50698,0.5208,0.21184,2.20625,3.06008,8.43874,0.01044,0,1.50023e-05,1.50023e-05,1.50023e-05
